Eveready Ind,EII02,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02
Exide Ind,EI,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI
FDC,FDC,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
Federal Bank,FB,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB
Finolex Cables,FC01,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01
Finolex Ind,FI,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI
Firstsource Sol,FS07,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07
Force Motors,FM01,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01
Fortis Health,FH,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
Future Consumer,FVI,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI
Future Life,FLF01,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01
Future Retail,FR,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR
GAIL,GAI,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
Gateway Distri,GD01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01
Gati,G04,http://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04
Gayatri Project,GP10,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10
GE Power India,AP29,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29
GE Shipping,GES,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES
GE T&D India,ATD,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD
GIC Housing Fin,GIC,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC
Gillette India,GI22,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22
GlaxoSmith Con,GSC04,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04
GlaxoSmithKline,GSK,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
Glenmark,GP08,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
GMR Infra,GI27,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27
GNFC,GNV,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV
Godfrey Phillip,GPI,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI
Godrej Consumer,GCP,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
Godrej Ind,GI23,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23
Godrej Prop,GP11,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11
Granules India,GI25,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
Grasim,GI01,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
Greaves Cotton,GC20,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20
Greenply Ind,GI19,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19
Grindwell Norto,GN,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN
GRUH Finance,GRU,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU
GSFC,GSF,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF
Guj Alkali,GAC01,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01
Guj Flourochem,GF07,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicals/GF07
Guj Heavy Chem,GHC,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC
Guj Mineral,GMD,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD
Guj State Petro,GSP02,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
Gujarat Gas,GGC,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC
Gujarat Pipavav,GPP03,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03
Gulf Oil Lubric,GOL01,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01
Hathway Cable,HCD,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD
Hatsun Agro,HAP,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP
Havells India,HI01,http://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01
HCL Info,HCL,http://www.moneycontrol.com/india/stockpricequote/computershardware/hclinfosystems/HCL
HCL Tech,HCL02,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02
HDFC,HDF,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
HDFC Bank,HDF01,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
HDIL,HDI,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI
Heidelberg Cem,HCI02,http://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02
Heritage Foods,HFI,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI
Hero Motocorp,HHM,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM
Hexaware Tech,HT02,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02
HFCL,HFC,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/himachalfuturisticcommunication/HFC
Himatsingka Sei,HS,http://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/himatsingkaseide/HS
Hind Constr,HCC,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/hindustanconstructioncompany/HCC
Hind Copper,HC07,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07
Hind Zinc,HZ,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ
Hindalco,HI,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
Honeywell Autom,HA04,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
HPCL,HPC,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
HSIL,HSI02,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02
HUL,HU,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
ICICI Bank,ICI02,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02
ICICI Prudentia,IPL01,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01
ICRA,ICR,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR
IDBI Bank,IDB05,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/idbibank/IDB05
IDFC,IDF,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF
IDFC First Bank,IDF01,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcfirstbank/IDF01
IFCI,IFC02,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02
IGL,IG04,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
IIFL Holdings,II15,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15
ILandFS Trans,ITN,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ilandfstransportationnetworks/ITN
India Cements,IC,http://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC
Indiabulls Hsg,IHF01,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01
Indiabulls Real,IRE01,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/indiabullsrealestate/IRE01
Indiabulls Vent,IS13,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13
Indian Bank,IB04,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04
Indian Hotels,IHC,http://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC
Indo Count,ICI07,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/indocountindustries/ICI07
Indoco Remedies,IR05,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05
IndusInd Bank,IIB,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB
Infibeam Avenue,IIL03,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infibeamavenues/IIL03
Info Edge,IEI01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01
Infosys,IT,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT
Ingersoll Rand,IRI01,http://www.moneycontrol.com/india/stockpricequote/compressors/ingersollrandindia/IRI01
INOX Leisure,INO01,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01
Inox Wind,IW,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/inoxwind/IW
Intellect Desig,IDA,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/intellectdesignarena/IDA
Interglobe Avi,IA04,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
IOB,IOB,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianoverseasbank/IOB
IOC,IOC,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
